選手ID,選手名,対局数,半荘数,総局数,総合ポイント,平均順位,1着数,2着数,3着数,4着数,トップ率,連対率,ラス回避率,平均得点,最高得点,平均ポイント,和了数,和了率,ツモ和了数,ロン和了数,ツモ和了率,平均和了点,最高和了点,平均翻,平均符,放銃数,放銃率,平均放銃点,副露局数,副露率,平均副露回数,立直局数,立直率,立直和了数,立直和了率,ダマ和了数,流局数,流局率,親局数,親番和了数,親番和了率,役満数,平均ドラ数,平均赤ドラ数,平均裏ドラ数,総局収支,平均局収支,最大局収支,最小局収支,解析済局数,判定保留局数,解析完了率,集計区分,年度,シーズン,最低得点,2着率,3着率,4着率,最大放銃点,放銃回避率,ダマ和了率,副露和了数,副露和了率,門前和了数,門前和了率,親番放銃数,親番放銃率,親平均収支,子平均収支
P0010,☆魔雀T塾生☆,2,2,23,22.9,2,1,0,1,0,50.0%,50.0%,100.0%,36450,52500,11.45,5,21.7%,4,1,80.0%,7720,16000,4.6,26,1,4.3%,2000,5,21.7%,2.6,6,26.1%,4,66.7%,1,1,4.3%,4,0,0.0%,0,0.4,0.8,1,22900,995.6521739,16000,-4000,19,4,82.6%,シーズン,2026,セミファイナル,20400,0.0%,50.0%,0.0%,2000,95.7%,20.0%,1,20.0%,4,22.2%,0,0.0%,-1250,1468.421053
P0011,014のりたま,1,1,9,2.8,2,0,1,0,0,0.0%,100.0%,100.0%,27800,27800,2.8,3,33.3%,0,3,0.0%,4833.333333,8000,3,33.33333333,1,11.1%,5200,2,22.2%,2,1,11.1%,0,0.0%,3,1,11.1%,2,0,0.0%,0,0.6666666667,1,0,2800,311.1111111,8000,-5500,9,0,100.0%,シーズン,2026,セミファイナル,27800,100.0%,0.0%,0.0%,5200,88.9%,100.0%,1,50.0%,2,28.6%,0,0.0%,-4500,1685.714286
P0016,Anmi,2,2,21,5.9,3,0,0,2,0,0.0%,0.0%,100.0%,27950,34800,2.95,4,19.0%,0,4,0.0%,8250,12000,4.25,37.5,5,23.8%,5020,3,14.3%,1.666666667,5,23.8%,3,60.0%,1,2,9.5%,4,0,0.0%,0,1,1.25,0,5900,280.952381,13000,-9000,21,0,100.0%,シーズン,2026,セミファイナル,21100,0.0%,100.0%,0.0%,8000,76.2%,25.0%,1,33.3%,3,16.7%,2,50.0%,-4500,1405.882353
P0018,Blue-K18,2,2,26,-13.4,3,0,0,2,0,0.0%,0.0%,100.0%,18300,22200,-6.7,6,23.1%,3,3,50.0%,4233.333333,9100,2.333333333,31.66666667,6,23.1%,2650,9,34.6%,2.222222222,6,23.1%,3,50.0%,3,0,0.0%,8,3,37.5%,0,0.5,0,0.1666666667,-13400,-515.3846154,9100,-6200,22,4,84.6%,シーズン,2026,セミファイナル,14400,0.0%,100.0%,0.0%,3900,76.9%,50.0%,3,33.3%,3,17.6%,1,12.5%,512.5,-972.2222222
P0020,Bu Ki Chi,1,1,10,-14.3,4,0,0,0,1,0.0%,0.0%,0.0%,10700,10700,-14.3,1,10.0%,0,1,0.0%,6400,6400,4,25,2,20.0%,3600,3,30.0%,3,3,30.0%,1,33.3%,0,2,20.0%,2,0,0.0%,0,0,1,0,-14300,-1430,8400,-5200,10,0,100.0%,シーズン,2026,セミファイナル,10700,0.0%,0.0%,100.0%,5200,80.0%,0.0%,0,0.0%,1,14.3%,0,0.0%,-3650,-875
P0024,EmperorTime,2,2,25,34.1,2,1,0,1,0,50.0%,50.0%,100.0%,42050,45200,17.05,8,32.0%,3,5,37.5%,4275,12000,2.625,31.25,2,8.0%,1000,10,40.0%,2,4,16.0%,1,25.0%,7,4,16.0%,7,1,14.3%,0,0.625,0.2857142857,0.1428571429,34100,1364,12600,-2600,25,0,100.0%,シーズン,2026,セミファイナル,38900,0.0%,50.0%,0.0%,1000,92.0%,87.5%,5,50.0%,3,20.0%,0,0.0%,928.5714286,1533.333333
P0030,Hiromu,2,2,28,28.8,1,2,0,0,0,100.0%,100.0%,100.0%,39400,47100,14.4,6,21.4%,3,3,50.0%,7433.333333,18000,3.666666667,29.16666667,2,7.1%,1250,6,21.4%,2.666666667,4,14.3%,3,75.0%,3,2,7.1%,8,3,37.5%,0,0.8333333333,0.5,0,28800,1028.571429,18000,-3000,28,0,100.0%,シーズン,2026,セミファイナル,31700,0.0%,0.0%,0.0%,1500,92.9%,50.0%,1,16.7%,5,22.7%,1,12.5%,4225,-250
P0032,J,1,1,14,-0.8,2,0,1,0,0,0.0%,100.0%,100.0%,24200,24200,-0.8,2,14.3%,1,1,50.0%,6600,8000,4,25,0,0.0%,,6,42.9%,3,3,21.4%,1,33.3%,1,6,42.9%,2,0,0.0%,0,0.5,0.5,0,-800,-57.14285714,8000,-4500,14,0,100.0%,シーズン,2026,セミファイナル,24200,100.0%,0.0%,0.0%,,100.0%,50.0%,1,16.7%,1,12.5%,0,0.0%,-2000,266.6666667
P0034,k-k,1,1,11,21,1,1,0,0,0,100.0%,100.0%,100.0%,46000,46000,21,3,27.3%,1,2,33.3%,9333.333333,12000,5,33.33333333,1,9.1%,3900,2,18.2%,3,3,27.3%,2,66.7%,1,0,0.0%,2,0,0.0%,0,1,1,0.3333333333,21000,1909.090909,12000,-3900,11,0,100.0%,シーズン,2026,セミファイナル,46000,0.0%,0.0%,0.0%,3900,90.9%,33.3%,1,50.0%,2,22.2%,0,0.0%,0,2333.333333
P0044,Mychemi,1,1,14,6.2,2,0,1,0,0,0.0%,100.0%,100.0%,31200,31200,6.2,4,28.6%,3,1,75.0%,4600,12000,2.5,32.5,3,21.4%,2000,6,42.9%,1.833333333,2,14.3%,0,0.0%,4,1,7.1%,4,2,50.0%,0,0.75,0.5,0,6200,442.8571429,12000,-3200,14,0,100.0%,シーズン,2026,セミファイナル,31200,100.0%,0.0%,0.0%,3200,78.6%,100.0%,3,50.0%,1,12.5%,1,25.0%,1125,170
P0051,Redstar,1,1,17,-10.1,3,0,0,1,0,0.0%,0.0%,100.0%,14900,14900,-10.1,3,17.6%,2,1,66.7%,5066.666667,8000,3.666666667,30,1,5.9%,2000,6,35.3%,3.333333333,3,17.6%,2,66.7%,1,4,23.5%,2,0,0.0%,0,1,0.3333333333,0.3333333333,-10100,-594.1176471,8000,-6000,17,0,100.0%,シーズン,2026,セミファイナル,14900,0.0%,100.0%,0.0%,2000,94.1%,33.3%,1,16.7%,2,18.2%,1,50.0%,-3000,-273.3333333
P0052,rinruka,1,1,11,5,2,0,1,0,0,0.0%,100.0%,100.0%,30000,30000,5,3,27.3%,1,2,33.3%,3066.666667,4000,2.333333333,36.66666667,0,0.0%,,1,9.1%,4,0,0.0%,0,,3,2,18.2%,2,0,0.0%,0,1,0.3333333333,0,5000,454.5454545,5500,-6000,11,0,100.0%,シーズン,2026,セミファイナル,30000,100.0%,0.0%,0.0%,,100.0%,100.0%,1,100.0%,2,20.0%,0,0.0%,-3000,1222.222222
P0053,ｒｒｒｒｒｒ,2,2,23,-46.1,2.5,1,0,0,1,50.0%,50.0%,50.0%,1950,39700,-23.05,4,17.4%,1,3,25.0%,5875,12000,3.25,32.5,8,34.8%,8062.5,8,34.8%,2.875,5,21.7%,2,40.0%,2,3,13.0%,6,1,16.7%,0,1.25,0.6666666667,0,-46100,-2004.347826,12000,-19000,23,0,100.0%,シーズン,2026,セミファイナル,-35800,0.0%,0.0%,50.0%,18000,65.2%,50.0%,2,25.0%,2,13.3%,2,33.3%,-2966.666667,-1664.705882
P0065,ysk,3,3,31,-18.2,2.666666667,0,2,0,1,0.0%,66.7%,66.7%,18933.33333,33000,-6.066666667,6,19.4%,2,4,33.3%,5300,12000,3.333333333,30.83333333,3,9.7%,7000,9,29.0%,2.222222222,7,22.6%,2,28.6%,4,5,16.1%,7,1,14.3%,0,1,0.5,0,-18200,-587.0967742,12000,-13300,31,0,100.0%,シーズン,2026,セミファイナル,3100,66.7%,0.0%,33.3%,12000,90.3%,66.7%,2,22.2%,4,18.2%,3,42.9%,-4157.142857,454.1666667
